Link_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1230433900,33,33,33,33,33,33,33,45,45,37,39,39,36,48,48,31,39,39,39,39,41,40,37,43
1230081700,28,35.5,34,33.5,33,33,33,33,32.5,33.5,32.5,32.700000000000003,33,31.5,34,31.5,33,33,26,26,33,33,33,26
1230081600,23,26.5,36,29,31,31,26,31,26,26,30.5,31,36,36,36,36,27,26,32,26.5,36,26,36,34.5
1230076500,35,34,28,37,33,27,33,45,45,45,33,43,31,42,38,42,34,39,29,35,35,36,39,37
1230076400,31,41.5,29,33,36,45,43,49,31,31,42,40.5,44,43,42,31,31,51,45.5,46.5,47,45.5,47,45
1230054900,43,36,41.700000000000003,39.799999999999997,36,36,36,39,36,37,37,36,36,38.299999999999997,40.5,39.5,43,43,45.5,43.5,42.299999999999997,39.5,43,41.5
1230039300,51,48,50,56,55,54,56,58,57,56,64,61.700000000000003,64,53,51,59.5,58,51.5,50.5,50,61.5,58,58.700000000000003,61
1230039200,49,49,45.700000000000003,47,45,49,49,50,49,36,37,32,33,30,34,33,44,47,51,51,47,34,41,38
1230004600,76.799999999999997,77.5,77,75.799999999999997,72.700000000000003,70.299999999999997,69.5,71.299999999999997,70.299999999999997,70,73,67,71,73,70.700000000000003,70.700000000000003,69.5,68.299999999999997,70.5,71.299999999999997,72.5,70.799999999999997,72.799999999999997,71.799999999999997
1230004503,67,67,69,73,69,73.700000000000003,74,67,65.5,65,67,80,75.700000000000003,70,65,64.5,64,64.5,67.5,69,69,69,71,67
1220348501,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,69,69,69,66
1220348401,62.700000000000003,62.700000000000003,62.700000000000003,62.700000000000003,62.700000000000003,64,64,62,61.700000000000003,63.299999999999997,60.700000000000003,61,62.299999999999997,62.700000000000003,66.5,62,64,64,62,64,64.700000000000003,64,64,64
1220348301,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27
1220348201,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5,25.5
1220348101,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
1220348001,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
1220347901,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
1220347801,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
1220347701,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
1220347601,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
1220347501,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
1220347401,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
1220347301,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
1220347201,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
1220347101,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
1220347001,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
1220346901,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
1220346801,29,29,29,29,29,29,29,29,29,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
1220346701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1220346601,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
1220346501,32.299999999999997,32,34,31,29.5,30,30,30,23,30,33.299999999999997,30,30,32.700000000000003,30,30,30,30,29.5,35.5,29,29.5,36,30
1220346401,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,49,48,48,48,47.700000000000003
1220346301,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
1220346201,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5
1220346101,39,39,40,39,40,39,39,39,39,39,39,39,42,39.5,39,39,39,39,39,41,39,39,39,45
1220346001,34,34,41,34,37,34,34,34,34,34,34.5,34,34,34,34,34,34,34,34,36,34,34,37,33.5
1220345901,64,66,66,64,66,76,72,57,68,54,54,43,28,36,49,43,38,20,48,54,61,58,69,72
1220345801,68.299999999999997,67.700000000000003,68.700000000000003,67,69.700000000000003,66,66.299999999999997,65.299999999999997,64.700000000000003,63,64,59,63,66.5,55,62.700000000000003,57,58,62,66,66,61,67.299999999999997,65.700000000000003
1220345701,51,51,51,51,51,51,51,51,51,47,39,39,39,39,39,39,36,36,36,36,36,36,36,59
1220345601,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
1220345501,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
1220345401,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1220345301,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
1220345201,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
1220345101,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
1220345001,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
1220344901,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1220344801,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
1220344701,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
1220344601,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1220344501,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1220344401,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
